group,protein_id,uniprot_accessions,r108_annotation,sequence_length,best_primary_pair,best_primary_donor_combo,best_primary_support_models,best_primary_distance_A,best_primary_min_plddt,best_primary_pae_A,best_primary_mean_sasa_A2,bait_psm,control_psm,pull_down_log2_psm_ratio,mtexpress_median_log2fc_nodule_vs_root,context_category,context_label,primary_class,site_interpretation,native_alternative,location,location_compatibility,domain_context,annotation_conflict,confidence,final_disposition,disposition_bucket,rationale,source_urls,flag_native_metal_or_catalytic,flag_conserved_or_canonical_fold,flag_compartment_incompatible_or_indirect,flag_scaffold_or_proteostasis,flag_annotation_conflict,retained_secondary_interaction_hypothesis,direct_NCC1_Cu_client_established,context_order,disposition_order,cysteine_count,methionine_count,histidine_count,signalp6_prediction,deeptmhmm_tm_count,context_source,bait_enriched,control_detected,direct_client_supported,client_claim_status,context_bucket,all_primary_sites
Background,MtrunR108HiC_002662.1,G7I9C1,Putative pyruvate kinase,529,M470-H497,H-M,3.0,4.492901734959267,87.25,2.315,10.210893519655626,3,0,2.0,0.3528063890296007,Canonical/conserved enzyme-fold coincidence,Conserved/canonical fold,Background housekeeping enzyme fold coincidence,M470-H497 and C415-C513 map to the pyruvate-kinase C-terminal/family region.,Pyruvate-kinase fold,Not available,Not assessed; background localization was not re-predicted with DeepLoc,"IPR001697 Pyruvate kinase (19-503) | IPR015795 Pyruvate kinase, C-terminal (379-500) | IPR036918 Pyruvate kinase, C-terminal domain superfamily (342-501)",No manual conflict audit; UniProt entry is unreviewed,High,Use as a background geometry-positive benchmark,Background benchmark,Bait-identified comparison protein whose geometry occurs in a canonical metabolic enzyme.,https://www.uniprot.org/uniprotkb/G7I9C1 | https://www.ebi.ac.uk/interpro/protein/UniProt/G7I9C1/,False,True,False,False,False,False,False,1,4,,,,,,,,,,,,M470-H497 (H-M; 3/3; d=4.49 A; FreeSASA=10.21 A2)
Background,MtrunR108HiC_009849.1,A0A072VCM1,Putative 6-phosphofructokinase,465,H167-M198,H-M,3.0,3.9914612612425544,95.12,1.525,7.734505479853263,4,0,2.321928094887362,2.7937657900592248,Canonical/conserved enzyme-fold coincidence,Conserved/canonical fold,Background housekeeping enzyme fold coincidence,H167-M198 lies within the phosphofructokinase domain.,Glycolytic kinase fold,Not available,Not assessed; background localization was not re-predicted with DeepLoc,IPR000023 Phosphofructokinase domain (95-323) | IPR012004 Pyrophosphate-dependent phosphofructokinase TP0108-type (31-358) | IPR035966 Phosphofructokinase superfamily (27-363) | IPR050929 Phosphofructokinase type A (5-358),No manual conflict audit; UniProt entry is unreviewed,High,Use as a background geometry-positive benchmark,Background benchmark,Bait-identified comparison protein in a canonical glycolytic enzyme fold.,https://www.uniprot.org/uniprotkb/A0A072VCM1 | https://www.ebi.ac.uk/interpro/protein/UniProt/A0A072VCM1/,False,True,False,False,False,False,False,1,4,,,,,,,,,,,,H167-M198 (H-M; 3/3; d=3.99 A; FreeSASA=7.73 A2)
Background,MtrunR108HiC_027437.1,A0A072TK75,Putative tripeptidyl-peptidase II,1333,C619-C668,C-C,3.0,3.6016898811530127,95.0,1.845,17.566540198460523,4,0,2.321928094887362,-0.4429672871900401,Canonical/conserved enzyme-fold coincidence,Conserved/canonical fold,Background protease structural-domain coincidence,"C619-C668 lies in the first Ig-like domain of tripeptidyl-peptidase II, outside its catalytic charge-relay residues.",Protease Ig-like structural domain,Not available,Not assessed; background localization was not re-predicted with DeepLoc,"IPR046940 Tripeptidyl peptidase II, Ig-like domain superfamily (564-699) | IPR048383 Tripeptidyl-peptidase II, first Ig-like domain (579-685) | IPR050131 Subtilisin-like serine protease (36-952)",No manual conflict audit; UniProt entry is unreviewed,High,Use as a background geometry-positive benchmark,Background benchmark,This is a structural Cys pair in an Ig-like protease domain rather than evidence of a Cu-transfer site.,https://www.uniprot.org/uniprotkb/A0A072TK75 | https://www.ebi.ac.uk/interpro/protein/UniProt/A0A072TK75/,False,True,False,False,False,False,False,1,4,,,,,,,,,,,,C619-C668 (C-C; 3/3; d=3.60 A; FreeSASA=17.57 A2)
Background,MtrunR108HiC_008775.1,A0A072V9Q0,Putative stem-specific protein TSJT1,253,C73-M106,C-M,3.0,3.719024737750476,93.38,2.17,8.864872142536296,2,0,1.584962500721156,2.2871591665137245,Native metal/catalytic-site alternative,Native metal/catalytic site,Plausible native catalytic-site mimic,C73-M106 lies within the N-terminal nucleophile-hydrolase/TSJT1-like region; C73 may reflect native catalytic chemistry rather than Cu binding.,N-terminal nucleophile hydrolase site (provisional),Not available,Not assessed; background localization was not re-predicted with DeepLoc,"IPR024286 Domain of unknown function DUF3700 (2-199) | IPR029055 Nucleophile aminohydrolases, N-terminal (26-199) | IPR044828 Stem-specific protein TSJT1-like (1-192)",No manual conflict audit; UniProt entry is unreviewed,Moderate,Use as a provisional native-site background benchmark,Background benchmark,Embedded in an Ntn-hydrolase fold; exact catalytic assignment is not experimentally established for this R108 protein.,https://www.uniprot.org/uniprotkb/A0A072V9Q0 | https://www.ebi.ac.uk/interpro/protein/UniProt/A0A072V9Q0/,True,False,False,False,False,False,False,2,4,,,,,,,,,,,,C73-M106 (C-M; 3/3; d=3.72 A; FreeSASA=8.86 A2)
Background,MtrunR108HiC_014003.1,A0A072VB79,Putative alcohol dehydrogenase,380,C48-C178,C-C,3.0,3.687211005624712,93.81,2.91,8.662977943466448,3,0,2.0,2.36592189393252,Native metal/catalytic-site alternative,Native metal/catalytic site,Native metal/catalytic-site mimic,C48-H70-C178 forms a three-ligand cluster matching the canonical catalytic Zn site architecture of medium-chain alcohol dehydrogenases.,Native catalytic Zn site,Cytoplasm (UniProt predicted),Not assessed; background localization was not re-predicted with DeepLoc,IPR011032 GroES-like superfamily (4-186),No manual conflict audit; UniProt entry is unreviewed,High,Use as the strongest native-metal false-positive benchmark,Background benchmark,Three mutually supported residues show that a high-quality metal-like geometry can represent a native Zn site rather than NCC1/Cu transfer.,https://www.uniprot.org/uniprotkb/A0A072VB79 | https://www.ebi.ac.uk/interpro/protein/UniProt/A0A072VB79/,True,False,False,False,False,False,False,2,4,,,,,,,,,,,,C48-C178 (C-C; 3/3; d=3.69 A; FreeSASA=8.66 A2); H70-C178 (C-H; 3/3; d=2.93 A; FreeSASA=5.48 A2); C48-H70 (C-H; 3/3; d=3.56 A; FreeSASA=5.32 A2)
Background,MtrunR108HiC_024872.1,G7KCQ5,Putative ubiquitinyl hydrolase 1,1119,C209-H456,C-H,3.0,3.9450134347046273,85.5,2.9450000000000003,9.168354876993202,4,0,2.321928094887362,0.0066344397116298,Native metal/catalytic-site alternative,Native metal/catalytic site,Native catalytic-site mimic,C209-H456 lies in the ubiquitin-specific protease catalytic domain and is consistent with the native cysteine-protease catalytic machinery; H807-C820 is a separate secondary site.,Native cysteine-protease catalytic dyad,Not available,Not assessed; background localization was not re-predicted with DeepLoc,"IPR001394 Peptidase C19, ubiquitin carboxyl-terminal hydrolase (204-525) | IPR028889 Ubiquitin specific protease UPS, catalytic domain (204-528) | IPR038765 Papain-like cysteine peptidase superfamily (199-556) | IPR050164 Ubiquitin carboxyl-terminal hydrolases (74-530)",No manual conflict audit; UniProt entry is unreviewed,High,Use as a native-catalytic-site background benchmark,Background benchmark,Catalytic Cys/His chemistry is a direct alternative explanation for the predicted donor pair.,https://www.uniprot.org/uniprotkb/G7KCQ5 | https://www.ebi.ac.uk/interpro/protein/UniProt/G7KCQ5/,True,False,False,False,False,False,False,2,4,,,,,,,,,,,,C209-H456 (C-H; 3/3; d=3.95 A; FreeSASA=9.17 A2); H807-C820 (C-H; 2/3; d=2.68 A; FreeSASA=9.68 A2)
Background,MtrunR108HiC_013003.1,G7JBT5,"Putative tetratricopeptide-like helical domain superfamily, clathrin, heavy chain, linker, core",1701,H136-M148,H-M,3.0,3.675804809834167,91.44,1.385,8.327757591318159,2,0,1.584962500721156,-1.058378246809779,Scaffold/proteostasis context,Scaffold/proteostasis,Background macromolecular scaffold coincidence,H136-M148 lies in the clathrin heavy-chain N-terminal region.,Clathrin coat/scaffold fold,"Cytoplasmic vesicle/coated-pit membrane, cytoplasmic side (UniProt predicted)",Not assessed; background localization was not re-predicted with DeepLoc,"IPR016025 Clathrin heavy chain, N-terminal (1-378) | IPR016341 Clathrin, heavy chain (5-1670)",No manual conflict audit; UniProt entry is unreviewed,High,Use as a background scaffold benchmark,Background benchmark,Vesicle-coat protein; local H/M proximity is not specific evidence of metal transfer.,https://www.uniprot.org/uniprotkb/G7JBT5 | https://www.ebi.ac.uk/interpro/protein/UniProt/G7JBT5/,False,False,False,True,False,False,False,3,4,,,,,,,,,,,,H136-M148 (H-M; 3/3; d=3.68 A; FreeSASA=8.33 A2)
Background,MtrunR108HiC_028419.1,A0A072UMF9,Putative armadillo-like helical protein,587,C111-H150,C-H,3.0,4.204321586177725,97.94,1.215,9.724446674869824,2,0,1.584962500721156,-0.4058026153218002,Scaffold/proteostasis context,Scaffold/proteostasis,Background macromolecular scaffold coincidence,C111-H150 lies within armadillo/HEAT repeats of the PP2A regulatory A subunit.,PP2A scaffold repeat fold,Not available,Not assessed; background localization was not re-predicted with DeepLoc,IPR011989 Armadillo-like helical (2-579) | IPR016024 Armadillo-type fold (8-579) | IPR051023 Protein Phosphatase 2A Regulatory Subunit A (4-586),No manual conflict audit; UniProt entry is unreviewed,High,Use as a background scaffold benchmark,Background benchmark,Scaffold protein with no dedicated Cu-site evidence.,https://www.uniprot.org/uniprotkb/A0A072UMF9 | https://www.ebi.ac.uk/interpro/protein/UniProt/A0A072UMF9/,False,False,False,True,False,False,False,3,4,,,,,,,,,,,,C111-H150 (C-H; 3/3; d=4.20 A; FreeSASA=9.72 A2)
Background,MtrunR108HiC_029714.1,G7L695,Putative proteasome endopeptidase complex,271,M96-H124,H-M,3.0,4.0453876204883015,95.44,1.705,20.16446406412763,2,0,1.584962500721156,-0.2714596635648902,Scaffold/proteostasis context,Scaffold/proteostasis,Background proteolytic machinery coincidence,M96-H124 lies within the proteasome beta-subunit fold but does not coincide with the annotated N-terminal catalytic Thr39.,Proteasome subunit fold,Cytoplasm; nucleus (UniProt predicted),Not assessed; background localization was not re-predicted with DeepLoc,"IPR001353 Proteasome, subunit alpha/beta (36-216) | IPR023333 Proteasome B-type subunit (8-221) | IPR029055 Nucleophile aminohydrolases, N-terminal (11-271)",No manual conflict audit; UniProt entry is unreviewed,High,Use as a background geometry-positive benchmark,Background benchmark,Local geometry is distinct from the native catalytic residue and is not evidence of Cu transfer.,https://www.uniprot.org/uniprotkb/G7L695 | https://www.ebi.ac.uk/interpro/protein/UniProt/G7L695/,False,False,False,True,False,False,False,3,4,,,,,,,,,,,,M96-H124 (H-M; 3/3; d=4.05 A; FreeSASA=20.16 A2)
Background,MtrunR108HiC_006901.1,Q2HU25,Putative dihydrolipoyl dehydrogenase,568,M448-H505,H-M,2.0,4.613328750223832,98.5,0.9724999999999999,7.103594616749774,9,3,1.3219280948873624,0.0214489792188552,Compartment-incompatible/indirect,Compartment-incompatible/indirect,Background compartment-incompatible redox enzyme,"M448-H505 lies in the FAD/NAD-linked reductase dimerization domain, not at a defined Cu-transfer module.",Plastid dihydrolipoamide-dehydrogenase fold,Plastid; chloroplast stroma (UniProt predicted),Not assessed; background localization was not re-predicted with DeepLoc,"IPR001100 Pyridine nucleotide-disulphide oxidoreductase, class I (81-543) | IPR004099 Pyridine nucleotide-disulphide oxidoreductase, dimerisation domain (436-547) | IPR006258 Dihydrolipoamide dehydrogenase (85-555) | IPR016156 FAD/NAD-linked reductase, dimerisation domain superfamily (435-559) | IPR050151 Class-I pyridine nucleotide-disulfide oxidoreductase (82-553)",No manual conflict audit; UniProt entry is unreviewed,High,Use as a compartment-incompatible background benchmark; not an NCC1 client,Background benchmark,UniProt predicts chloroplast stroma localization; bait enrichment demonstrates that Table S3 background is not a true-negative set.,https://www.uniprot.org/uniprotkb/Q2HU25 | https://www.ebi.ac.uk/interpro/protein/UniProt/Q2HU25/,False,False,True,False,False,False,False,4,4,,,,,,,,,,,,M448-H505 (H-M; 2/3; d=4.61 A; FreeSASA=7.10 A2)
