protein_id,frozen_pair,seed,n_models,n_qualifying,qualifying_fraction,median_global_plddt,median_ptm,median_min_pair_plddt,median_pair_pae_A,median_donor_distance_A,median_mean_donor_sasa_A2,seed_has_any_qualifying_model,seed_has_majority_qualifying_models,short_id
MtrunR108HiC_001767.1,H27-C136,0,5,4,0.8,89.25468564650059,0.79,83.56,2.815,4.3194676755359565,8.028012777013972,True,True,001767
MtrunR108HiC_001767.1,H27-C136,1,5,5,1.0,87.37637010676157,0.78,81.81,3.035,4.295793640295121,7.451595974927195,True,True,001767
MtrunR108HiC_001767.1,H27-C136,2,5,3,0.6,87.94169632265717,0.78,82.25,2.95,4.289061785519066,6.969361502601158,True,True,001767
MtrunR108HiC_001767.1,H27-C136,3,5,5,1.0,88.5675919335706,0.78,83.06,2.96,4.310586503017889,7.7196785480335235,True,True,001767
MtrunR108HiC_001767.1,H27-C136,4,5,5,1.0,87.93395017793596,0.76,81.19,3.175,4.325785708978196,8.41685031774265,True,True,001767
MtrunR108HiC_005650.1,C469-C481,0,5,5,1.0,84.87707216494844,0.83,92.12,1.815,3.811349104975822,8.578642339402535,True,True,005650
MtrunR108HiC_005650.1,C469-C481,1,5,5,1.0,85.03659793814433,0.83,92.12,1.84,3.801215068895733,8.3105597662962,True,True,005650
MtrunR108HiC_005650.1,C469-C481,2,5,5,1.0,85.36094845360824,0.83,91.88,1.795,3.801219015000321,8.3105597662962,True,True,005650
MtrunR108HiC_005650.1,C469-C481,3,5,5,1.0,84.812206185567,0.83,92.19,1.77,3.8040854354233415,8.042477193189873,True,True,005650
MtrunR108HiC_005650.1,C469-C481,4,5,5,1.0,85.45107216494846,0.83,92.25,1.815,3.806554741495252,8.3105597662962,True,True,005650
MtrunR108HiC_008307.1,H27-C136,0,5,5,1.0,88.18160142348754,0.78,83.06,2.9299999999999997,4.322907008021338,7.3042683694432196,True,True,008307
MtrunR108HiC_008307.1,H27-C136,1,5,4,0.8,88.57013048635824,0.78,81.5,3.33,4.3918656627907,8.108516088762205,True,True,008307
MtrunR108HiC_008307.1,H27-C136,2,5,5,1.0,87.5017319098458,0.79,82.62,2.95,4.312396665428634,7.451595974927195,True,True,008307
MtrunR108HiC_008307.1,H27-C136,3,5,4,0.8,88.14278766310794,0.77,81.69,2.885,4.273716181498251,7.786502841769249,True,True,008307
MtrunR108HiC_008307.1,H27-C136,4,5,4,0.8,88.56523131672597,0.79,81.75,3.025,4.312241760384034,7.679426892159404,True,True,008307
MtrunR108HiC_012482.1,M478-M501,0,5,5,1.0,91.5548122866894,0.89,97.75,1.64,4.915587655611484,8.310559766296208,True,True,012482
MtrunR108HiC_012482.1,M478-M501,1,5,5,1.0,91.76836177474404,0.9,97.75,1.63,4.912770603233985,8.310559766296208,True,True,012482
MtrunR108HiC_012482.1,M478-M501,2,5,5,1.0,91.494385665529,0.89,97.44,1.64,4.92910519262878,8.3105597662962,True,True,012482
MtrunR108HiC_012482.1,M478-M501,3,5,4,0.8,92.08754266211604,0.9,97.69,1.645,4.962559924071449,8.042477193189873,True,True,012482
MtrunR108HiC_012482.1,M478-M501,4,5,5,1.0,91.54368600682594,0.9,97.5,1.68,4.875228507465058,8.3105597662962,True,True,012482
MtrunR108HiC_013677.1,M671-H720,0,5,5,1.0,90.15726329442283,0.91,90.81,2.1399999999999997,4.765956986797089,21.994879216404687,True,True,013677
MtrunR108HiC_013677.1,M671-H720,1,5,5,1.0,90.15933852140078,0.91,91.06,2.115,4.802636255224829,21.57946903781439,True,True,013677
MtrunR108HiC_013677.1,M671-H720,2,5,5,1.0,90.23953307392996,0.91,91.38,2.26,4.779297647144398,21.35163812058218,True,True,013677
MtrunR108HiC_013677.1,M671-H720,3,5,5,1.0,90.1689364461738,0.91,91.44,2.145,4.798059816217382,21.659972349562636,True,True,013677
MtrunR108HiC_013677.1,M671-H720,4,5,5,1.0,90.18581063553826,0.91,90.81,2.18,4.793281235229162,21.84755161092072,True,True,013677
MtrunR108HiC_031716.1,H197-M241,0,5,5,1.0,80.10354022988506,0.58,81.75,3.75,3.747363473163498,6.929109846727039,True,True,031716
MtrunR108HiC_031716.1,H197-M241,1,5,4,0.8,80.28445977011495,0.57,82.81,4.005,3.71190113014881,8.229271056384567,True,True,031716
MtrunR108HiC_031716.1,H197-M241,2,5,4,0.8,80.47606896551723,0.58,83.94,3.27,3.68101086659629,7.693105910171903,True,True,031716
MtrunR108HiC_031716.1,H197-M241,3,5,4,0.8,80.3034712643678,0.58,82.88,3.835,3.7210282181139127,7.505526648813815,True,True,031716
MtrunR108HiC_031716.1,H197-M241,4,5,4,0.8,81.00190804597702,0.58,83.88,3.4800000000000004,3.753055421919584,7.465274992939696,True,True,031716
